COVID-19 Vaccinations Equity
Date generated: Sat Mar 12 2022 13:29:15 GMT-0500 (北美东部标准时间)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 5+ pop fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Herkimer County,NY ,Mod-High,97.6,58.7,61.8,65.7,67.3,83.3
Jefferson County,NY ,Mod-High,97.6,72.9,79.1,85.1,87.1,93.2
Kings County,NY ,High,97.6,71.1,76.5,81.2,82.6,77.7
Lewis County,NY ,Low-Mod,97.6,51.8,55.3,59.7,62,81.8
Livingston County,NY ,Low-Mod,97.6,59.3,61.9,64.6,65.2,89.8
Madison County,NY ,Low,97.6,60.7,63.8,66.8,67.6,80.8
Monroe County,NY ,Mod-High,97.6,71.8,76,79.5,80.6,92.2
Montgomery County,NY ,High,97.6,66.3,70.8,76.3,79,95
Nassau County,NY ,Low,97.6,80.5,85.2,89.9,91.1,95
New York County,NY ,Mod-High,97.6,84.2,88.3,90.3,90.1,87.2
Niagara County,NY ,Low-Mod,97.6,66,69.7,73.4,74.8,88
Oneida County,NY ,Mod-High,97.6,62.3,66,70.1,71.6,86
Onondaga County,NY ,Mod-High,97.6,73,77.3,81.1,82.3,92.5
Ontario County,NY ,Low,97.6,67.9,71.3,74.4,75.2,88
Orange County,NY ,Mod-High,97.6,64.1,68.7,74.4,76.7,87
Orleans County,NY ,Mod-High,97.6,54.7,57.6,61,62.6,80.9
Oswego County,NY ,Mod-High,97.6,59,62.4,66,67.4,85.8
Otsego County,NY ,Low-Mod,97.6,61.3,63.9,65.8,65.7,83.8
Putnam County,NY ,Low,97.6,72.8,76.2,79.8,80.9,86.7
Queens County,NY ,Mod-High,97.6,85.3,90.8,95,95,87.5
Rensselaer County,NY ,Low-Mod,97.6,70,73.7,77.3,78.2,91.2
Richmond County,NY ,Low-Mod,97.6,73.3,77.8,82.8,84.6,88.9
Rockland County,NY ,Mod-High,97.6,63.3,69,75.6,78.6,86.4
Saratoga County,NY ,Low,97.6,78.8,82.9,85.7,86.2,94.5
Schenectady County,NY ,Low-Mod,97.6,72.2,76.8,80.5,81.1,93.9
Schoharie County,NY ,Low-Mod,97.6,56.6,58.9,61.9,62.8,76.5
Schuyler County,NY ,Low-Mod,97.6,61.8,64.9,68.6,70.4,89.1
Seneca County,NY ,Low-Mod,97.6,53.3,56.1,59.3,60.2,77.1
St. Lawrence County,NY ,Mod-High,97.6,60.5,63.8,67,67.8,85.5
Steuben County,NY ,Low-Mod,97.6,59.4,62.8,66.4,68.3,82.7
Suffolk County,NY ,Low,97.6,74.9,79.2,84,86,94
Sullivan County,NY ,High,97.6,60.2,63.8,68,69.9,79.7
Tioga County,NY ,Low,97.6,59.8,62.9,66.9,68.8,81.7
Tompkins County,NY ,Low-Mod,97.6,78.9,82,83.4,83.1,95
Ulster County,NY ,Low-Mod,97.6,72.1,75.3,78.3,78.8,87.3
Warren County,NY ,Low,97.6,76.8,80.3,83.8,85.1,93.3
Washington County,NY ,Low-Mod,97.6,66,69.2,72.7,74,94.1
Wayne County,NY ,Low-Mod,97.6,62.3,65.9,69.7,71,85.1
Westchester County,NY ,Mod-High,97.6,79.7,84.3,87.7,87.7,89.9
Wyoming County,NY ,Low-Mod,97.6,51.1,53.6,56.5,57.8,79.6
Yates County,NY ,Low-Mod,97.6,52.6,56.1,60,61.9,83.3
Alamance County,NC ,High,97,57.9,61.5,65.6,67.3,86.3
Alexander County,NC ,Mod-High,97,45.4,47.7,51.1,53.6,71.2
Alleghany County,NC ,Mod-High,97,58.8,61.6,65.1,68,80.6
Anson County,NC ,High,97,45.8,48.4,51.9,53.9,73.6
Ashe County,NC ,Low-Mod,97,53.1,55.3,58.4,60.5,69.8
Avery County,NC ,Mod-High,97,53.4,55.5,58.2,60.2,81.6
Beaufort County,NC ,Mod-High,97,54.7,57.5,61.7,64.6,84.9
Bertie County,NC ,High,97,51.4,53.8,57.2,59.1,74.6
Bladen County,NC ,High,97,62.5,65.7,70.7,71.9,76.8
Brunswick County,NC ,Low-Mod,97,61.1,63.5,66.6,68.2,84.9
Buncombe County,NC ,Low-Mod,97,65.7,69,72.1,73.2,84.4
Burke County,NC ,High,97,46.5,48.8,51.8,53.2,70
Cabarrus County,NC ,Low-Mod,97,56.2,60,64,65.8,84.8
Caldwell County,NC ,Mod-High,97,46.6,49,52.6,54.8,76.4
Camden County,NC ,Low-Mod,97,61.3,64.5,69.8,73.6,83.7
Carteret County,NC ,Low-Mod,97,63.2,65.9,69.6,71.6,85.4
Caswell County,NC ,High,97,49.5,52.1,55.3,58,80
Catawba County,NC ,Mod-High,97,54.5,57.7,61.9,63.8,87.2
Chatham County,NC ,Low-Mod,97,61.1,64.1,65.8,67.4,75.3
Cherokee County,NC ,Low-Mod,97,56.2,58.7,62.4,65.6,90.1
Chowan County,NC ,High,97,55.9,58.9,63.3,65.9,84.1
Clay County,NC ,Low,97,53.3,55.7,59,62.1,81.1
Cleveland County,NC ,High,97,49.3,52.2,56.3,58.3,80.7
Columbus County,NC ,High,97,44.3,46.8,50.3,52.4,66.9
Craven County,NC ,High,97,61.2,65.2,70,72,92.2
Cumberland County,NC ,High,97,59.9,64.8,70.6,73,86.1
Currituck County,NC ,Low,97,58.5,62,67,70.1,95
Dare County,NC ,Low,97,74.4,77.9,82.3,85.2,95
Davidson County,NC ,Mod-High,97,47.2,50,53.7,55.9,75.6
Davie County,NC ,Low-Mod,97,56.2,59,62.9,64.7,82.1
Duplin County,NC ,High,97,44.3,47.2,51.3,53.3,63.7
Durham County,NC ,Mod-High,97,69.8,74.5,77.5,78.2,90.5
Edgecombe County,NC ,High,97,47.8,50.7,55,57.6,75.8
Forsyth County,NC ,Mod-High,97,61.1,64.9,69.1,70.8,87.1
Franklin County,NC ,Mod-High,97,51.1,54.1,57.7,59.1,77.5
Gaston County,NC ,Mod-High,97,49.9,53,57,59,79.9
Gates County,NC ,Low-Mod,97,52.5,55,59.1,62.1,83
Graham County,NC ,Mod-High,97,49.1,51.6,55.2,58.6,77.3
Granville County,NC ,Mod-High,97,61.1,64.4,68.5,70.8,80
Greene County,NC ,High,97,61.5,64.7,69.1,71.2,88.4
Guilford County,NC ,Mod-High,97,60.5,64.3,68.4,69.7,88.2
Halifax County,NC ,High,97,53.5,56.6,61,63.7,83.5
Harnett County,NC ,High,97,41.7,44.9,49.2,50.4,76.1
Haywood County,NC ,Low-Mod,97,56.5,59.4,62.7,64.8,84.2
Henderson County,NC ,Low-Mod,97,57.5,60.4,63.6,65.3,80.2
Hertford County,NC ,High,97,47.7,50,53.5,55.1,75.7
Hoke County,NC ,High,97,40.3,43.9,48.2,49.2,68.3
Hyde County,NC ,High,97,66,68.5,71.6,73.9,86.1
Iredell County,NC ,Low-Mod,97,51.9,54.9,58.9,61.1,82.2
Jackson County,NC ,Mod-High,97,54.2,56.7,59,59.7,80.5
Johnston County,NC ,Mod-High,97,52.1,55.6,60.3,62.5,82.1
Jones County,NC ,High,97,53.8,56.5,59.9,61.5,78
Lee County,NC ,High,97,56,59.7,64.5,66.4,87.3
Lenoir County,NC ,High,97,53.7,56.9,61.8,64.9,85.1
Lincoln County,NC ,Low-Mod,97,47.9,50.5,54,56.2,79.9
Macon County,NC ,Low-Mod,97,57.9,60.8,64.8,67.6,84
Madison County,NC ,Low-Mod,97,56.5,59.2,62.3,64.6,83.9
Martin County,NC ,High,97,51.9,54.9,58.9,61.3,78.7
McDowell County,NC ,High,97,52.1,54.8,58.7,61.1,81.2
Mecklenburg County,NC ,Low-Mod,97,62.1,66.5,70.5,71.5,87.9
Mitchell County,NC ,Low-Mod,97,49.5,52,55.4,57.7,72.8
Montgomery County,NC ,High,97,41.9,44.2,48,51.1,71.7
Moore County,NC ,Low-Mod,97,58.4,62.1,67.1,69.3,90.7
Nash County,NC ,High,97,57.7,61.1,65.7,68.1,87.5
New Hanover County,NC ,Low-Mod,97,62.3,65.4,68.6,69.6,88.3
Northampton County,NC ,High,97,47.8,50.1,52.8,54.8,73.8
Onslow County,NC ,Mod-High,97,60.2,66,72.3,74.6,92.7
Orange County,NC ,Low-Mod,97,76.7,80.2,81.7,81.4,95
Pamlico County,NC ,Mod-High,97,56.1,58.2,61.3,63.8,84.5
Pasquotank County,NC ,High,97,53.7,57.1,61.5,64.3,94.4
Pender County,NC ,Mod-High,97,51.7,54.8,58.8,61,79.7
Perquimans County,NC ,Mod-High,97,47.8,50.1,53.7,56.3,79.4
Person County,NC ,High,97,55.5,58.5,62.6,64.8,84.2
Pitt County,NC ,High,97,53.3,56.5,60,61.3,83.8
Polk County,NC ,Low-Mod,97,43.4,45.1,47.3,48.7,60.2
Randolph County,NC ,Mod-High,97,43.7,46.3,50,52.3,73.2
Richmond County,NC ,High,97,47.2,50.3,54.8,57.5,79.4
Robeson County,NC ,High,97,41.8,44.8,49.1,51.1,72.3
Rockingham County,NC ,High,97,49.6,52.3,56,58.3,78.6
Rowan County,NC ,High,97,43.9,46.6,50.2,52.6,74.1
Rutherford County,NC ,High,97,41.3,43.5,46.7,48.8,66.3
Sampson County,NC ,High,97,50.5,54.1,59.1,62.1,75.2
Scotland County,NC ,High,97,46.8,50.1,54.8,57.2,78.5
Stanly County,NC ,Mod-High,97,42.5,45.1,48.8,51.1,73.9
Stokes County,NC ,Low-Mod,97,46.1,48.3,51.4,53.4,73.1
Surry County,NC ,Mod-High,97,51.3,54.1,58.2,60.5,80
Swain County,NC ,High,97,56.7,60.4,63.4,64.2,87.3
Transylvania County,NC ,Low-Mod,97,54.4,56.6,59,60.3,70.1
Tyrrell County,NC ,High,97,48.5,50.9,54.1,55.3,76.7
Union County,NC ,Low,97,54.6,57.8,62.1,63.8,81.8
Vance County,NC ,High,97,56,59.7,64.7,66.8,84.7
Wake County,NC ,Low-Mod,97,72,76.6,80.4,81.3,95
Warren County,NC ,High,97,54.9,57.5,60.9,62.7,71.9
Washington County,NC ,High,97,49.5,52.2,56,58,77.8
Watauga County,NC ,Low-Mod,97,55.1,56.9,58.1,58.5,79
Wayne County,NC ,High,97,48,51.4,56,58.5,72.8
Wilkes County,NC ,Mod-High,97,46.3,48.8,52.1,54.5,68.8
Wilson County,NC ,High,97,53.1,56.4,60.9,63.2,80.6
Yadkin County,NC ,Mod-High,97,48.9,51.6,55.5,57.9,77.9
Yancey County,NC ,Mod-High,97,51.1,53.6,56.9,59.2,78.2
Adams County,ND ,Low,92.6,48.3,51,54.9,57.5,75.3
Barnes County,ND ,Low,92.6,56.8,59.7,63.1,65.1,79.6
Benson County,ND ,High,92.6,51.6,57.7,64.3,66.5,76.1
Billings County,ND ,Low,92.6,20.9,22.6,24.4,25.7,24.6
Bottineau County,ND ,Low,92.6,49.8,52.7,56.8,59.4,82.3
Bowman County,ND ,Low,92.6,38.3,40.8,45.5,48.7,79.6
Burke County,ND ,Low,92.6,38.9,42.1,46.7,50,73.9
Burleigh County,ND ,Low,92.6,50.2,53.7,57.9,60.2,79.8
Cass County,ND ,Low,92.6,59.8,64.2,67.6,68.6,86.2
Cavalier County,ND ,Low,92.6,59.7,64.3,68,70.9,77.9
Dickey County,ND ,Low,92.6,52.5,56.2,60.2,63,86.4
Divide County,ND ,Low,92.6,40.8,43.6,47.6,49.9,61.7
Dunn County,ND ,Low,92.6,24.3,26.4,29.1,31.3,53.9
Eddy County,ND ,Low-Mod,92.6,51.3,55.4,59.7,63.1,81.5
Emmons County,ND ,Low,92.6,33.8,35.7,38.3,40.7,60.5
Foster County,ND ,Low,92.6,54.2,57.7,62.1,64.4,81.7
Golden Valley County,ND ,Low,92.6,29.9,31.6,33.5,35.6,51.4
Grand Forks County,ND ,Low-Mod,92.6,58.2,62.4,65.6,67,87.7
Grant County,ND ,Low,92.6,23,24.5,26.3,27.6,36.4
Griggs County,ND ,Low,92.6,46.1,48.6,52.7,55.4,68
Hettinger County,ND ,Low,92.6,39,42.4,47.3,50.7,78.9
Kidder County,ND ,Low,92.6,32.9,34.9,38.3,40.6,55.2
LaMoure County,ND ,Low,92.6,47.9,51,54.5,57.5,71.9
Logan County,ND ,Low,92.6,37,39.4,43,46.4,73.8
McHenry County,ND ,Low,92.6,41.6,44.3,48.9,51.8,79.2
McIntosh County,ND ,Low,92.6,43.3,45.7,49.1,51.4,65.5
McKenzie County,ND ,Low-Mod,92.6,21.8,24.2,27.6,29.8,52.4
McLean County,ND ,Low,92.6,45.9,48.9,53.2,56,72.6
Mercer County,ND ,Low,92.6,38.3,40.8,44.9,48.1,73.8
Morton County,ND ,Low,92.6,44.8,48.3,52.3,54.7,79.7
Mountrail County,ND ,Low-Mod,92.6,41.7,45.6,49.7,50.7,75.3
Nelson County,ND ,Low,92.6,70.5,74,77.7,80.6,95
Oliver County,ND ,Low,92.6,25.3,26.9,30.2,32,47.3
Pembina County,ND ,Low,92.6,55.3,58.6,62.6,65.1,82
Pierce County,ND ,Low,92.6,45,47.6,52.1,53.8,75.4
Ramsey County,ND ,Low-Mod,92.6,56.3,60.5,66,68.5,85
Ransom County,ND ,Low,92.6,58.7,62.2,66.8,69.8,95
Renville County,ND ,Low,92.6,38.5,40.7,44.6,47.1,75.6
Richland County,ND ,Low,92.6,50.8,54.2,57.9,59.8,80
Rolette County,ND ,High,92.6,68.3,74.7,80.8,82.4,88.6
Sargent County,ND ,Low,92.6,58.2,62,66.9,69.9,83.9
Sheridan County,ND ,Low,92.6,36.2,38.1,40.8,43.1,53.3
Sioux County,ND ,High,92.6,56.8,63,66.9,65.7,83.3
Slope County,ND ,Low,92.6,11.1,11.8,12.8,13.5,24.2
Stark County,ND ,Low,92.6,36,39.4,43.6,46.2,71.9
Steele County,ND ,Low,92.6,46.3,49.5,53.1,55.3,68.5
Stutsman County,ND ,Low,92.6,52.8,55.7,59.5,61.5,79.5
Towner County,ND ,Low,92.6,46.9,49.7,52.9,54.7,65.8
Traill County,ND ,Low,92.6,53.6,57,61.3,63.5,86.5
Walsh County,ND ,Low-Mod,92.6,57.6,61.7,66,68.5,84.6
Ward County,ND ,Low,92.6,48.6,52.6,57,59,79.7
Wells County,ND ,Low,92.6,43.3,46,49.9,52.8,67.1
Williams County,ND ,Low-Mod,92.6,29.8,33.1,37.4,39.7,73.5
Adams County,OH ,High,98.6,34.6,36.8,40.4,42.9,65.9
Allen County,OH ,Mod-High,98.6,43.2,46.1,50,53,80
Ashland County,OH ,Low-Mod,98.6,43,45.6,49.4,52.3,78.2
Ashtabula County,OH ,High,98.6,52.2,55.3,59.5,61.9,85.5
Athens County,OH ,Mod-High,98.6,51,53,54.5,54.9,86.3
Auglaize County,OH ,Low,98.6,39.2,41.9,45.9,49.2,78.9
Belmont County,OH ,Low-Mod,98.6,47.7,50.1,53.7,55.8,78.7
Brown County,OH ,Low-Mod,98.6,40.7,43.2,47,49.7,76.7
Butler County,OH ,Low-Mod,98.6,56.4,60,64,65.8,85.6
Carroll County,OH ,Low,98.6,43.7,46.2,49.7,52.4,77.1
Champaign County,OH ,Low-Mod,98.6,45.4,48,52,55.3,80.2
Clark County,OH ,Mod-High,98.6,52.5,55.7,60.2,62.8,86.7
Clermont County,OH ,Low,98.6,56.4,59.9,63.8,65.8,86.6
Clinton County,OH ,Low-Mod,98.6,48.6,51.7,56,58.7,85.1
Columbiana County,OH ,Low-Mod,98.6,48.8,51.5,55.4,58,82.1
Coshocton County,OH ,Mod-High,98.6,38.5,41.2,45.1,48,72.2
Crawford County,OH ,Low-Mod,98.6,44.8,47.5,51.4,54.5,79.2
Cuyahoga County,OH ,Mod-High,98.6,64.3,68.1,71.8,73.5,87.6
Darke County,OH ,Low,98.6,39.1,41.6,45.7,49,78.5
Defiance County,OH ,Low,98.6,48.8,51.8,56,58.9,85.2
Delaware County,OH ,Low,98.6,74.7,79.4,83.2,84.7,95
Erie County,OH ,Low-Mod,98.6,58.8,62.1,66.2,68.9,88.2
Fairfield County,OH ,Low,98.6,57.1,60.7,64.7,66.8,87.7
Fayette County,OH ,Mod-High,98.6,43.2,46,50.1,52.9,79.8
Franklin County,OH ,Mod-High,98.6,63.7,68.5,72.4,73.6,90.2
Fulton County,OH ,Low,98.6,52.1,55.4,60.1,63,86.8
Gallia County,OH ,Mod-High,98.6,46.3,49.2,53.6,56.6,81
Geauga County,OH ,Low,98.6,60.9,64.3,68.2,70.9,88.2
Greene County,OH ,Low,98.6,62.6,66.2,70.1,71.5,90
Guernsey County,OH ,Mod-High,98.6,44.1,46.9,50.8,53.7,78.6
Hamilton County,OH ,Mod-High,98.6,62.3,66.6,70.8,72.7,90.3
Hancock County,OH ,Low,98.6,50.4,53.6,57.4,59.7,81.7
Hardin County,OH ,Low-Mod,98.6,38.2,40.7,44.4,47,79.3
Harrison County,OH ,Mod-High,98.6,42.7,45,48.7,51.7,77
Henry County,OH ,Low,98.6,53.7,57.1,61.6,64.6,91.1
Highland County,OH ,Mod-High,98.6,37.6,40.1,43.9,46.9,70.8
Hocking County,OH ,Low-Mod,98.6,47.8,50.5,54.3,56.7,77.4
Holmes County,OH ,Low-Mod,98.6,17.9,19.6,22.2,24.7,50.9
Huron County,OH ,Low-Mod,98.6,47.4,50.6,55.1,58.2,84.2
Jackson County,OH ,High,98.6,46.8,50.1,54.5,57.2,80.2
Jefferson County,OH ,Mod-High,98.6,49.9,52.5,56.3,58.4,81.4
Knox County,OH ,Low-Mod,98.6,42.8,45.5,49.1,51.6,77.3
Lake County,OH ,Low,98.6,65,68.4,72,74,90.7
Lawrence County,OH ,Mod-High,98.6,48.8,51.6,55.3,57.4,78.5
Licking County,OH ,Low,98.6,54.3,57.8,62,64.1,86.8
Logan County,OH ,Low-Mod,98.6,42.5,45.2,49.2,52.4,80
Lorain County,OH ,Mod-High,98.6,63.1,66.8,70.7,72.5,91.1
Lucas County,OH ,Mod-High,98.6,57.5,61.4,65.8,67.8,89
Madison County,OH ,Low-Mod,98.6,50.6,53.3,56.4,58.2,82.4
Mahoning County,OH ,Mod-High,98.6,56.6,59.7,63.5,65.9,86.4
Marion County,OH ,Mod-High,98.6,47.7,50.6,54.4,56.7,82.3
Medina County,OH ,Low,98.6,63.6,67.1,70.9,73,91.4
Meigs County,OH ,Mod-High,98.6,46.4,48.9,52.5,55.1,76.1
Mercer County,OH ,Low,98.6,38,41.2,45.3,49,80.5
Miami County,OH ,Low,98.6,47.4,50.3,54.4,57.3,80.1
Monroe County,OH ,Low-Mod,98.6,46.1,48.5,52.5,55,76.4
Montgomery County,OH ,Mod-High,98.6,56,59.7,63.7,65.6,83.8
Morgan County,OH ,Mod-High,98.6,42,44.4,47.6,50.3,70.3
Morrow County,OH ,Low,98.6,41.3,43.7,47.3,50.1,73.9
Muskingum County,OH ,Mod-High,98.6,48.1,51.2,55.4,58.3,84.5
Noble County,OH ,Low-Mod,98.6,42.9,45.2,48.5,50.3,46.4
Ottawa County,OH ,Low,98.6,61.2,64,67.8,70,87.5
Paulding County,OH ,Low-Mod,98.6,41.9,44.4,48.5,51.9,79.5
Perry County,OH ,Mod-High,98.6,40.6,43.2,47,49.9,77
Pickaway County,OH ,Low-Mod,98.6,50.1,53,56.7,59.1,83.8
Pike County,OH ,High,98.6,43.8,46.6,50.7,53.6,74.3
Portage County,OH ,Low,98.6,57,59.6,62.3,63.7,89.2
Preble County,OH ,Low,98.6,42.7,45.1,49,52.4,80.4
Putnam County,OH ,Low,98.6,48.3,51.8,57.1,60.7,86.8
Richland County,OH ,Mod-High,98.6,43.6,46.3,50.1,52.7,77.4
Ross County,OH ,Mod-High,98.6,50.1,53.1,57.1,59.9,83.5
Sandusky County,OH ,Low-Mod,98.6,52.4,55.5,59.9,62.7,88.6
Scioto County,OH ,High,98.6,48.9,51.9,56.2,58.7,74.2
Seneca County,OH ,Low-Mod,98.6,48.6,51.5,55.3,58.2,86.7
Shelby County,OH ,Low,98.6,35.8,38.2,42,45.2,71.7
Stark County,OH ,Low-Mod,98.6,54.3,57.5,61.3,63.4,84.5
Summit County,OH ,Low-Mod,98.6,62.8,66.5,70,71.4,88.5
Trumbull County,OH ,Low-Mod,98.6,54.3,57.4,61.3,63.7,83.6
Tuscarawas County,OH ,Low-Mod,98.6,44.1,47,51,53.7,77.4
Union County,OH ,Low,98.6,61.9,66.1,69.8,71.6,93.6
Van Wert County,OH ,Low,98.6,43.1,46,49.9,53.1,80
Vinton County,OH ,Mod-High,98.6,39.5,41.9,45,47.2,69.7
Warren County,OH ,Low,98.6,63.6,67.4,71.3,73.1,90.1
Washington County,OH ,Low-Mod,98.6,55,57.9,61.7,63.8,82.7
Wayne County,OH ,Low-Mod,98.6,45.3,48.5,52.5,55.3,80.5
Williams County,OH ,Low-Mod,98.6,44.5,47.2,51.2,54.2,84.3
Wood County,OH ,Low,98.6,61.5,64.9,68.1,69.3,95
Wyandot County,OH ,Low,98.6,47.2,50,54.2,57.5,82.5
Adair County,OK ,High,93.7,35.7,38.6,42.6,44.8,63.2
Alfalfa County,OK ,Low-Mod,93.7,44.8,47.1,51.5,54.7,73.7
Atoka County,OK ,High,93.7,35.6,37.8,41.4,44.3,61.6
Beaver County,OK ,Low-Mod,93.7,30.8,32.7,36.2,39.9,59.5
Beckham County,OK ,Mod-High,93.7,40.8,43.8,48.7,51.4,78.8
Blaine County,OK ,Mod-High,93.7,46.2,49.6,54.8,57.1,67.2
Bryan County,OK ,High,93.7,42,44.9,49.3,51.8,73.9
Caddo County,OK ,High,93.7,65.1,69.8,76.1,77.8,95
Canadian County,OK ,Low-Mod,93.7,57.5,61.6,67.2,69.5,86.7
Carter County,OK ,High,93.7,43.6,46.8,51.2,53.7,76.1
Cherokee County,OK ,High,93.7,47.3,50.1,53.7,55,71.7
Choctaw County,OK ,High,93.7,34.9,37.5,41.2,44.2,64
Cimarron County,OK ,Low-Mod,93.7,32.4,34.4,38.9,42.4,57.3
Cleveland County,OK ,Low-Mod,93.7,54.8,57.8,61.1,61.8,79.2
Coal County,OK ,High,93.7,40.3,43.3,47.3,50.8,67.3
Comanche County,OK ,High,93.7,60,64.4,69.8,71.6,84.4
Cotton County,OK ,Mod-High,93.7,49.5,52.4,57.1,59.3,81
Craig County,OK ,High,93.7,52.8,55.6,60.7,63.9,91.6
Creek County,OK ,Low-Mod,93.7,43.2,46,50.1,52.8,70.9
Custer County,OK ,High,93.7,48.2,51.7,56.5,58.3,85.5
Delaware County,OK ,High,93.7,41.6,43.8,47.1,49.3,62.6
Dewey County,OK ,Low,93.7,25.1,26.9,30.4,33.2,60.4
Ellis County,OK ,Low-Mod,93.7,34.7,36.6,40,43.5,69.1
Garfield County,OK ,Mod-High,93.7,49.7,53.6,59.2,62.2,82.6
Garvin County,OK ,Mod-High,93.7,46,49.2,54.3,57.7,85.8
Grady County,OK ,Low-Mod,93.7,37.5,39.7,43.5,45.9,64.8
Grant County,OK ,Low,93.7,42.3,45,49.9,53.3,76.6
Greer County,OK ,High,93.7,36.5,38.5,41.6,43.4,78.8
Harmon County,OK ,High,93.7,48.8,52.1,57.4,60.9,81.4
Harper County,OK ,Low-Mod,93.7,44.7,47.5,53,55.2,79.3
Haskell County,OK ,High,93.7,40.7,43.2,47.3,50.3,72.5
Hughes County,OK ,High,93.7,45.2,48.1,52.3,54.5,76.6
Jackson County,OK ,High,93.7,53.3,57.5,63.4,66.2,85.3
Jefferson County,OK ,High,93.7,41.6,44.1,49.1,52.9,77
Johnston County,OK ,High,93.7,42,44.7,49.3,52.6,68.7
Kay County,OK ,High,93.7,42.2,45.1,49.7,52.2,75.1
Kingfisher County,OK ,Low-Mod,93.7,47.2,50.4,56.4,59.9,81.4
Kiowa County,OK ,Mod-High,93.7,50.8,54.7,60.1,63.4,90.9
Latimer County,OK ,High,93.7,33.9,36.1,39,40.7,50.8
Le Flore County,OK ,High,93.7,38.6,41.1,44.9,47.6,70.4
Lincoln County,OK ,Low-Mod,93.7,39.8,42.2,46.2,48.9,68.5
Logan County,OK ,Low-Mod,93.7,34.7,36.8,39.7,41.6,58.7
Love County,OK ,Mod-High,93.7,41.7,44.6,49.1,52.1,70.8
Major County,OK ,Low-Mod,93.7,49.5,53.1,59,63.6,93
Marshall County,OK ,High,93.7,44.3,47.1,51.4,53.9,72.8
Mayes County,OK ,High,93.7,43,45.7,50.2,52.9,72.2
McClain County,OK ,Low,93.7,47.5,50.4,55.5,58.8,81.8
McCurtain County,OK ,High,93.7,35.5,38,42.3,45.4,64.2
McIntosh County,OK ,High,93.7,53.8,56.6,60.9,63.8,83.8
Murray County,OK ,Mod-High,93.7,44.4,47.1,51.4,54.4,72.5
Muskogee County,OK ,High,93.7,51.1,54.6,59.8,61.7,85.1
Noble County,OK ,Low-Mod,93.7,61.9,65.8,71.8,74.5,91.9
Nowata County,OK ,Mod-High,93.7,43,45.9,50.1,52.6,70.8
Okfuskee County,OK ,High,93.7,46.4,49.3,53.8,56.2,82.6
Oklahoma County,OK ,Mod-High,93.7,64,69,74.6,75.9,91.4
Okmulgee County,OK ,High,93.7,42.3,44.9,49.2,51.7,70.6
Osage County,OK ,Mod-High,93.7,34.4,36.2,39,40.4,50.4
Ottawa County,OK ,High,93.7,38.5,41.3,45.8,48.2,74.4
Pawnee County,OK ,Mod-High,93.7,48.8,51.9,56.6,59.2,80.1
Payne County,OK ,Mod-High,93.7,48.4,50.9,53.7,54.4,83.6
Pittsburg County,OK ,High,93.7,44.8,47.6,51.6,53.9,68.4
Pontotoc County,OK ,Mod-High,93.7,50.5,54.1,59.3,61.7,75.8
Pottawatomie County,OK ,High,93.7,47.9,51,55.6,57.5,80.6
Pushmataha County,OK ,High,93.7,35.6,37.7,41,43.6,60
Roger Mills County,OK ,Low-Mod,93.7,36.2,38.7,41.8,44.9,60.9
Rogers County,OK ,Low-Mod,93.7,46.2,49,53.4,55.9,78.6
Seminole County,OK ,High,93.7,51.7,55.2,60.4,63.4,82.6
Sequoyah County,OK ,High,93.7,39.7,42.4,46.2,48.2,66
Stephens County,OK ,Mod-High,93.7,47,49.9,54.5,57.5,82.2
Texas County,OK ,High,93.7,44,48.2,53.6,56.7,80.1
Tillman County,OK ,High,93.7,49.4,52.3,57.2,60.4,79.7
Tulsa County,OK ,Mod-High,93.7,60.9,65.5,71,73,92.2
Wagoner County,OK ,Low-Mod,93.7,46.6,49.5,54,56.4,73.1
Washington County,OK ,Low-Mod,93.7,43.1,46,49.9,51.9,70.8
Washita County,OK ,Low-Mod,93.7,38.8,41.3,45.9,48.6,71.8
Woods County,OK ,Low-Mod,93.7,41.1,43.7,47.1,48.8,81.9
Woodward County,OK ,Mod-High,93.7,37.6,40.2,44.3,46.8,75.6
Baker County,OR ,Mod-High,97.8,69.9,73.6,79.7,83.8,95
Benton County,OR ,Low-Mod,97.8,74.2,77.3,79.4,79.7,93.6
Clackamas County,OR ,Low,97.8,68.3,72,75.3,76.1,85.4
Clatsop County,OR ,Mod-High,97.8,65.7,69.1,72.9,74.4,84.5
Columbia County,OR ,Low-Mod,97.8,60.3,63.7,68,69.9,89.6
Coos County,OR ,Mod-High,97.8,56.8,59.7,63.6,65.6,80.4
Crook County,OR ,Mod-High,97.8,50.6,53.6,57.7,59.9,80.8
Curry County,OR ,Low-Mod,97.8,55,57.1,60.2,61.5,74.4
Deschutes County,OR ,Low,97.8,68.5,72.1,75.7,77,92.8
Douglas County,OR ,Mod-High,97.8,52.3,55.1,59.2,61.6,77.5
Gilliam County,OR ,Mod-High,97.8,44.7,46.7,50.5,51.8,65.9
Grant County,OR ,Mod-High,97.8,45.2,47.4,50.6,52.9,62.5
Harney County,OR ,Mod-High,97.8,45.7,48.4,52,54.1,66.8
Hood River County,OR ,Mod-High,97.8,84.1,89.5,94.1,95,95
Jackson County,OR ,Mod-High,97.8,57.7,60.9,65.2,66.9,82.5
